epoch,lr,train_loss,train_acc,val_top1,val_bal_acc,val_macro_f1,val_minority_acc,epoch_seconds,train_seconds,ema_val_top1,ema_val_bal_acc
1,0.001,0.8753692000345542,0.9603075384423053,0.9777368597254771,0.9668744489245197,0.9628567869530232,0.9166666666666666,36.191457748413086,34.14911484718323,,
2,0.0009932488451843476,0.830685002742104,0.9738092261532691,0.9835955808503515,0.9624925108492642,0.9643893984125967,0.9,33.66337752342224,32.00618839263916,,
3,0.0009731795346418141,0.8228692887857387,0.9763303746301621,0.9800803481754269,0.9578598358338783,0.9580576664902258,0.9333333333333333,33.5415313243866,32.060669898986816,,
4,0.000940339506847212,0.8129724636323086,0.9780180855940326,0.9829260127217945,0.9611515097926493,0.957706408067115,0.9,33.68566012382507,32.09845781326294,,
5,0.0008956245521512149,0.809348750992229,0.9788931949827062,0.9827586206896551,0.9664477066982751,0.9639107025720552,0.9166666666666666,33.51527142524719,31.86789608001709,,
6,0.000840254377954742,0.8041557777910058,0.98070592157353,0.9857716772681621,0.9701495238965908,0.9676529239294737,0.9166666666666666,33.57972836494446,31.979057788848877,,
7,0.0007757393382706015,0.8025384982556121,0.98089344501396,0.9825912286575159,0.9654884606748436,0.9632407416324693,0.9333333333333333,33.33882522583008,31.7942636013031,,
8,0.00070383923520322,0.7980630217842615,0.9824144684752261,0.9840977569467694,0.9704036301106609,0.9689699517875802,0.95,33.439645528793335,31.856486320495605,,
9,0.0006265153161346956,0.7968692006024389,0.9831228903612952,0.9835955808503515,0.9649195829445782,0.9640908984736652,0.9333333333333333,33.518975257873535,31.951465606689453,,
10,0.0005458767760088046,0.7950698959135426,0.9821227653456682,0.9857716772681621,0.9800970225835427,0.9787537165925503,0.9833333333333333,33.44125843048096,31.976938724517822,,
11,0.00046412322399119553,0.7911025723621349,0.984081343501271,0.9859390693003013,0.9732962406186966,0.9746324472721696,0.9333333333333333,33.2201669216156,31.698816299438477,,
12,0.00038348468386530446,0.7880105164421942,0.9849356169521191,0.9842651489789086,0.9745644454414641,0.9724302490043715,0.95,33.3359580039978,31.783390998840332,,
13,0.00030616076479678025,0.7850670819208613,0.9856232029003625,0.9852695011717443,0.9759302536585603,0.9748266131906653,0.9833333333333333,33.31985807418823,31.887317895889282,,
14,0.0002342606617293988,0.7836814870008524,0.9859149060299204,0.9835955808503515,0.9708890058646205,0.9679097267023936,0.9166666666666666,33.13344168663025,31.68743133544922,,
15,0.00016974562204525827,0.7823353939743525,0.9868108513564195,0.9854368932038835,0.9708186438918229,0.9716110118471762,0.95,33.1611442565918,31.695132732391357,,
16,0.00011437544784878523,0.778711210937705,0.9882068591907321,0.9854368932038835,0.9736578334622576,0.9727099819574239,0.9333333333333333,33.13379645347595,31.551860570907593,,
17,6.966049315278797e-05,0.7768283724243374,0.988644413885069,0.9861064613324406,0.974381162049946,0.9737322659612401,0.9333333333333333,33.37840008735657,31.853710651397705,,
18,3.6820465358185854e-05,0.7774767261170028,0.9878734841855232,0.9859390693003013,0.9740316299338023,0.9735809471674646,0.9333333333333333,33.34447431564331,31.792298793792725,,
19,1.6751154815652454e-05,0.7771390551983647,0.9881026795016044,0.9862738533645798,0.974246243529971,0.9738135384339078,0.9333333333333333,33.45599818229675,31.923911094665527,,
20,1e-05,0.7759850858206371,0.9889569529524523,0.9864412453967191,0.9785647042387979,0.9777805244564488,0.95,34.531843423843384,31.6111900806427,0.9862738533645798,0.9745112687374298
