epoch,lr,train_loss,train_acc,val_top1,val_bal_acc,val_macro_f1,val_minority_acc,epoch_seconds,train_seconds,ema_val_top1,ema_val_bal_acc
1,0.001,1.7609239086214383,0.7293824079850281,0.972411500747881,0.8693751691891337,0.8643018864104399,0.7868852459016393,9.25587797164917,8.652271270751953,,
2,0.0009932488451843476,0.8501480882815795,0.9672697026408816,0.9778959614425794,0.9541632461815512,0.9555973946145258,0.9344262295081968,8.538365364074707,8.040361881256104,,
3,0.0009731795346418141,0.8271905060814929,0.9737575379496777,0.9787269403357155,0.9583813783539256,0.954808771047726,0.9344262295081968,8.430875539779663,7.96455454826355,,
4,0.000940339506847212,0.8193247184953711,0.9751299646496153,0.9817184643510055,0.9655212252579519,0.9594966880513853,0.9508196721311475,8.247095823287964,7.776604652404785,,
5,0.0008956245521512149,0.814771385038189,0.9766271574131836,0.9773973741066977,0.9677571637055682,0.968704439037119,0.9508196721311475,8.773518562316895,8.27852725982666,,
6,0.000840254377954742,0.8101963194474086,0.97747972551466,0.9852085757021771,0.9786287890930954,0.9776714677705272,0.9508196721311475,8.360978603363037,7.877260208129883,,
7,0.0007757393382706015,0.8043095697655601,0.9797671033478894,0.9820508559082599,0.9778407997317613,0.976720058540132,0.9672131147540983,8.248366355895996,7.782275676727295,,
8,0.00070383923520322,0.8016836113631292,0.9802869619463506,0.9822170516868871,0.9783355577860112,0.9778610484482229,0.9672131147540983,8.148585319519043,7.684936761856079,,
9,0.0006265153161346956,0.7994508907734964,0.9812850904553961,0.9842114010304138,0.9719553125825672,0.9720843792046687,0.9344262295081968,8.236828088760376,7.748969078063965,,
10,0.0005458767760088046,0.7950237756510191,0.9820960698689957,0.9832142263586505,0.9781289514038362,0.9768315788206061,0.9672131147540983,8.288814544677734,7.7992613315582275,,
11,0.00046412322399119553,0.7908690321492564,0.9833229361613641,0.9837128136945321,0.9803661387632311,0.9788748704517805,0.9672131147540983,8.230449914932251,7.758711099624634,,
12,0.00038348468386530446,0.7874549256662093,0.9844666250779788,0.9848761841449227,0.9798842019065604,0.9791129051724592,0.9672131147540983,8.252582788467407,7.7882239818573,,
13,0.00030616076479678025,0.784978074684389,0.9851736327718861,0.9845437925876682,0.9809803018838541,0.9795503924941442,0.9672131147540983,8.336820602416992,7.866495132446289,,
14,0.0002342606617293988,0.7814645306239582,0.9861093782491163,0.984377596809041,0.9776247037961202,0.9770844509082979,0.9508196721311475,8.265763282775879,7.7935566902160645,,
15,0.00016974562204525827,0.7806747864229214,0.9864420877521314,0.985873358816686,0.9780491323015403,0.9778957899309696,0.9508196721311475,8.263271570205688,7.7906177043914795,,
16,0.00011437544784878523,0.7784962332008236,0.9875857766687461,0.9870367292670766,0.981406089214189,0.9798277799250442,0.9672131147540983,8.334167242050171,7.850898504257202,,
17,6.966049315278797e-05,0.7757980649772219,0.9882511956747765,0.9853747714808044,0.9807946918768226,0.9793508026059763,0.9672131147540983,8.340595960617065,7.873565435409546,,
18,3.6820465358185854e-05,0.772315787817887,0.9896028280307756,0.9872029250457038,0.9820829755149528,0.9803421104323254,0.9672131147540983,8.306994676589966,7.835696220397949,,
19,1.6751154815652454e-05,0.7717924736472717,0.9896236223747141,0.9868705334884494,0.9816977149794982,0.9801883588936643,0.9672131147540983,8.227591276168823,7.737139463424683,,
20,1e-05,0.7721311961298154,0.9895820336868372,0.9868705334884494,0.9816264532676848,0.980186973439054,0.9672131147540983,8.808706998825073,7.8817596435546875,0.9868705334884494,0.9816441472969184
