epoch,lr,train_loss,train_acc,val_top1,val_bal_acc,val_macro_f1,val_minority_acc,epoch_seconds,train_seconds,ema_val_top1,ema_val_bal_acc
1,0.001,0.8872655978133778,0.955225055083412,0.9688650820220958,0.9675479440788124,0.9590671671435858,0.9166666666666666,6.162585258483887,5.7391197681427,,
2,0.0009932488451843476,0.8326449958565928,0.9728320742839156,0.9772346836290593,0.9689584713582002,0.9650555907699343,0.9166666666666666,5.64093279838562,5.231051683425903,,
3,0.0009731795346418141,0.8232038985043154,0.9758813345923828,0.9834281888182123,0.9695101333808468,0.9584705545747011,0.9166666666666666,5.647744655609131,5.265439987182617,,
4,0.000940339506847212,0.8168603106793796,0.9773961284230406,0.9835955808503515,0.9686945018617262,0.957813613052632,0.95,5.7167181968688965,5.319584131240845,,
5,0.0008956245521512149,0.8125744996147408,0.9780453257790368,0.9825912286575159,0.9586781689525563,0.9474586929200081,0.9166666666666666,6.863760471343994,6.4761693477630615,,
6,0.000840254377954742,0.8113248337729757,0.9783797607806106,0.9840977569467694,0.9634131809853249,0.9525802670622984,0.9166666666666666,5.728719711303711,5.333106517791748,,
7,0.0007757393382706015,0.8061310577625218,0.9799929178470255,0.9834281888182123,0.9692694984246434,0.9520058132827723,0.9166666666666666,5.600896120071411,5.2231285572052,,
8,0.00070383923520322,0.8022746955744305,0.9810552407932012,0.9824238366253766,0.9700692592223426,0.9530382658228667,0.9166666666666666,5.659429550170898,5.284842014312744,,
9,0.0006265153161346956,0.7986914901039981,0.9819601825621656,0.9824238366253766,0.9672034856390974,0.9556754858646647,0.9166666666666666,5.705000638961792,5.31853461265564,,
10,0.0005458767760088046,0.7981640628609674,0.9819208372678627,0.9844325410110478,0.9744022992007927,0.9674204799312364,0.95,6.9623284339904785,6.56750226020813,,
11,0.00046412322399119553,0.7913174029787944,0.9844192634560907,0.9837629728824908,0.9715471223052042,0.9569781716191019,0.9166666666666666,5.693212032318115,5.277070045471191,,
12,0.00038348468386530446,0.7910480602454719,0.9845963172804533,0.9847673250753264,0.968607658409554,0.9548816440256268,0.9166666666666666,5.625997543334961,5.2402894496917725,,
13,0.00030616076479678025,0.7870601456721399,0.9858553666981429,0.98393036491463,0.9661965529120555,0.9583591072053143,0.9166666666666666,5.565572500228882,5.190560579299927,,
14,0.0002342606617293988,0.7861552252535329,0.9856192949323261,0.9844325410110478,0.9636085504336931,0.9576545858967671,0.9166666666666666,5.635244131088257,5.234236478805542,,
15,0.00016974562204525827,0.783314526512595,0.9866225999370475,0.9859390693003013,0.9719779269428193,0.9637054819416402,0.9166666666666666,6.921280384063721,6.537520408630371,,
16,0.00011437544784878523,0.7804182932779854,0.9874488511174063,0.9854368932038835,0.9697369567439156,0.9604816348459007,0.9333333333333333,5.6654534339904785,5.2652058601379395,,
17,6.966049315278797e-05,0.7791758600855759,0.9881767390620082,0.9840977569467694,0.9710821644571899,0.9630203243540626,0.9166666666666666,5.7949378490448,5.401066064834595,,
18,3.6820465358185854e-05,0.7791378704264061,0.9879603399433428,0.9857716772681621,0.9750577556513415,0.9685465222803273,0.9333333333333333,5.669451713562012,5.279191493988037,,
19,1.6751154815652454e-05,0.7777884759578759,0.9882947749449166,0.9857716772681621,0.9744851543490604,0.9684287928657339,0.9333333333333333,5.7674400806427,5.377230644226074,,
20,1e-05,0.7768993797563404,0.9886292099464904,0.9859390693003013,0.9742254801892074,0.968157216985768,0.9333333333333333,6.030646800994873,5.235673904418945,0.9857716772681621,0.974007078928747
