epoch,lr,train_loss,train_acc,val_top1,val_bal_acc,val_macro_f1,val_minority_acc,epoch_seconds,train_seconds
1,0.001,0.892564987985249,0.9551535864627183,0.9769989963198394,0.9677721524462906,0.9685533952082894,0.9541284403669725,6.299333095550537,5.566289186477661
2,0.0009932488451843476,0.8257294764183066,0.9750969032634519,0.986283037805286,0.9820267333293382,0.981186044733055,0.9724770642201835,7.627429962158203,7.006783485412598
3,0.0009731795346418141,0.8156594759908269,0.9777643479348144,0.9849447975911676,0.9837262858858784,0.9811750184193798,0.981651376146789,5.601262092590332,4.96129035949707
4,0.000940339506847212,0.812410512076051,0.9779310632267745,0.9791736366677819,0.9816823561253097,0.9801445182735913,0.9724770642201835,5.558209657669067,4.953752040863037
5,0.0008956245521512149,0.8074236017793264,0.979514858500396,0.986283037805286,0.9804650978781875,0.9816878869095343,0.9724770642201835,5.5637266635894775,4.9441821575164795
6,0.000840254377954742,0.8028183829186682,0.9811403325970075,0.9870357979257277,0.9790296814248198,0.9797495431091524,0.963302752293578,5.5685343742370605,4.959413528442383
7,0.0007757393382706015,0.8015834924721884,0.9818280331763432,0.9861993977919037,0.9770250784459591,0.979018904692615,0.9724770642201835,7.332955837249756,6.711809873580933
8,0.00070383923520322,0.7986897253053113,0.9825990914016588,0.9859484777517564,0.9784482933852535,0.9802309666315286,0.9724770642201835,5.578013181686401,4.967931747436523
9,0.0006265153161346956,0.7957186600313635,0.9824948943441837,0.9877049180327869,0.9867845567423587,0.9851309577124309,0.981651376146789,5.71080207824707,5.05628514289856
10,0.0005458767760088046,0.7906737346853475,0.9847247113741507,0.9880394780863165,0.9850392618265419,0.9826645220813409,0.981651376146789,5.772015810012817,5.151810169219971
11,0.00046412322399119553,0.7906042916024605,0.9843704413787354,0.9877885580461693,0.9864274392527361,0.9840608414336433,0.981651376146789,5.524873733520508,4.901760816574097
12,0.00038348468386530446,0.7883985791548987,0.9851623390155462,0.9886249581799933,0.9874119276140911,0.9846844103917279,0.981651376146789,5.688834190368652,5.0566725730896
13,0.00030616076479678025,0.7860965452635218,0.9856624848914267,0.9887085981933758,0.9859439685280359,0.9848040341395209,0.981651376146789,7.736372232437134,7.041869640350342
14,0.0002342606617293988,0.7834867488491785,0.9861417913558121,0.9894613583138173,0.9869510563794037,0.9864966259337417,0.981651376146789,6.027595281600952,5.368297338485718
15,0.00016974562204525827,0.7814455633810748,0.9868503313466428,0.9889595182335229,0.9871146222350308,0.9858347841794166,0.981651376146789,6.064162969589233,5.390869379043579
16,0.00011437544784878523,0.7804386249922307,0.9871837619305631,0.9899631983941117,0.9871456834116027,0.9862369915889188,0.981651376146789,6.555861234664917,5.914691686630249
17,6.966049315278797e-05,0.7773880520434545,0.9877672654524237,0.990214118434259,0.987036269196972,0.9864384160216135,0.981651376146789,7.700732707977295,5.157193183898926
18,3.6820465358185854e-05,0.7770270381326381,0.9883716083857792,0.9898795583807294,0.9867902859973817,0.9861632770177797,0.981651376146789,5.8215484619140625,5.194485902786255
19,1.6751154815652454e-05,0.7760160511045703,0.9886008419122244,0.9896286383405821,0.9869558927806357,0.9860829873750786,0.981651376146789,5.648511648178101,5.0211217403411865
