epoch,lr,train_loss,train_acc,val_top1,val_bal_acc,val_macro_f1,val_minority_acc,epoch_seconds,train_seconds,ema_val_top1,ema_val_bal_acc
1,0.001,2.2292662069142595,0.5729049698482013,0.9471189822898478,0.761977043177735,0.7608189260975337,0.5416666666666666,41.611122846603394,35.92820119857788,,
2,0.000905463412215599,1.0252856718103216,0.9002703264711999,0.9604223829716472,0.8742382176446327,0.8677114959001593,0.7666666666666667,41.04777503013611,36.41668486595154,,
3,0.000657963412215599,0.9645654844280884,0.9196922437097109,0.9686538621435105,0.9232167195768475,0.9218916112412484,0.9,40.48460650444031,35.68443512916565,,
4,0.0003520365877844011,0.9400833560612822,0.9271574131836141,0.9710651035170865,0.9435241057529892,0.9477063963478153,0.925,40.66029071807861,36.159324645996094,,
5,0.00010453658778440106,0.9202945603553905,0.9339779579954253,0.9755550012471939,0.9620129736930993,0.9608763870743803,0.95,40.80758190155029,36.12097477912903,,
6,1e-05,0.9085885445177742,0.9385943023497608,0.9758875862642388,0.9594518327422216,0.9580539067123447,0.9416666666666667,48.08723521232605,37.13956570625305,0.9761370250270225,0.9590767313239159
