epoch,lr,train_loss,train_acc,val_top1,val_bal_acc,val_macro_f1,val_minority_acc,epoch_seconds,train_seconds
1,0.001,2.132453199879596,0.597171969224371,0.9531055125966575,0.7629609997135365,0.7623865471443689,0.5,35.029903173446655,31.324471473693848
2,0.000905463412215599,1.0039565322155712,0.9084425036390101,0.9649122807017544,0.8853087631107757,0.8925090751956215,0.8083333333333333,32.61947441101074,29.620726585388184
3,0.000657963412215599,0.9461197816946324,0.9274901226866292,0.9717302735511765,0.9378602932492484,0.9356099948358174,0.9083333333333333,32.81362867355347,29.152705192565918
4,0.0003520365877844011,0.92399567622954,0.9342690788105635,0.9720628585682215,0.9539243642443649,0.9540265167344679,0.9416666666666667,32.52542591094971,29.484652757644653
5,0.00010453658778440106,0.9055417248751076,0.9404242046163444,0.976968487569635,0.9631171813579822,0.9602425255936824,0.95,32.99125599861145,29.17949342727661
6,1e-05,0.8952358426559887,0.9440840091495113,0.9780493888750312,0.9635917399093759,0.960854551030253,0.95,32.36670660972595,29.412391185760498
