epoch,lr,train_loss,train_acc,val_top1,val_bal_acc,val_macro_f1,val_minority_acc,epoch_seconds,train_seconds,ema_val_top1,ema_val_bal_acc
1,0.001,0.8916908891985801,0.9542136003337505,0.9817530411598067,0.9701701009944547,0.9718144416427661,0.96,7.792694091796875,7.151377201080322,,
2,0.0009932488451843476,0.8266304695909601,0.9739883187317481,0.9849191801366439,0.9842363913104488,0.9817505255737731,0.976,5.489124298095703,4.8814287185668945,,
3,0.0009731795346418141,0.8159280535674464,0.9773675427617856,0.9863356107315447,0.983102770382589,0.9831137038372992,0.984,5.657702207565308,5.044657945632935,,
4,0.000940339506847212,0.8105564532749445,0.9793700458906966,0.9865855690718214,0.9880621688945833,0.9860523563794079,0.992,5.61809778213501,5.012586355209351,,
5,0.0008956245521512149,0.8067452664518535,0.9803921568627451,0.98150308281953,0.9882832435289862,0.9847837563366956,0.992,5.930678606033325,5.305246353149414,,
6,0.000840254377954742,0.8066603973253001,0.9796412181894034,0.9859190134977504,0.9772951078309843,0.9798075636635554,0.976,7.637269973754883,5.976715564727783,,
7,0.0007757393382706015,0.8004336256059846,0.9813099707968294,0.9834194300949841,0.9792906899018401,0.9815620152368955,0.976,5.552809715270996,4.952596664428711,,
8,0.00070383923520322,0.79824402587932,0.9818523153942428,0.9869188468588569,0.984895141769023,0.9833397765441992,0.984,5.52297043800354,4.903558969497681,,
9,0.0006265153161346956,0.7944095501712725,0.9832081768877764,0.9867522079653391,0.980345643754911,0.981634388626975,0.976,5.475595951080322,4.881402015686035,,
10,0.0005458767760088046,0.7927937559003277,0.983375052148519,0.9853357773704383,0.9858296868201469,0.9815312151832551,0.984,5.883317232131958,5.142573595046997,,
11,0.00046412322399119553,0.7905658461821791,0.9841051314142678,0.9889185135810699,0.9911752947109305,0.9883090274987661,0.992,5.788873910903931,5.166095018386841,,
12,0.00038348468386530446,0.7864121455871715,0.9855235711305799,0.9870854857523746,0.9837595426358634,0.9817439420786412,0.976,7.355724573135376,6.754628419876099,,
13,0.00030616076479678025,0.7859745077804371,0.9853358364622444,0.9878353607732044,0.9842897580946929,0.9836422202395588,0.976,5.506357192993164,4.911803722381592,,
14,0.0002342606617293988,0.7833764316242936,0.9860867751355862,0.9885852357940343,0.9843766947725541,0.984500524535088,0.984,5.5405237674713135,4.931624412536621,,
15,0.00016974562204525827,0.779631348734455,0.9871923237380058,0.9878353607732044,0.9796813056407595,0.9811563213469909,0.968,5.52176570892334,4.918061971664429,,
16,0.00011437544784878523,0.7788518917376567,0.9879224030037547,0.9883352774537577,0.9844045254144133,0.9852384718601879,0.984,5.478828430175781,4.886799573898315,,
17,6.966049315278797e-05,0.77821805529859,0.9876303712974551,0.9886685552407932,0.9854018521874143,0.9844475758493896,0.984,7.280397891998291,6.684177875518799,,
18,3.6820465358185854e-05,0.7767027844027972,0.9885690446391322,0.9885852357940343,0.9845957447883715,0.9840449459213342,0.984,5.517323970794678,4.938289403915405,,
19,1.6751154815652454e-05,0.7763456042975647,0.9885273258239466,0.9887518746875521,0.9846330767943446,0.985584179040914,0.984,5.510502576828003,4.916238307952881,,
20,1e-05,0.7755543350725806,0.988715060492282,0.9885019163472755,0.9846520876213181,0.9840165109709833,0.984,6.119931936264038,4.9247424602508545,0.9885852357940343,0.9846673811143634
