epoch,lr,train_loss,train_acc,val_top1,val_bal_acc,val_macro_f1,val_minority_acc,epoch_seconds,train_seconds,ema_val_top1,ema_val_bal_acc
1,0.001,0.9994456182205682,0.916419088774853,0.9539385847797063,0.9549427169524358,0.9342549893564464,0.9322033898305084,9.479326725006104,8.896101474761963,,
2,0.0009932488451843476,0.9222424660912255,0.9380882139072986,0.9632843791722296,0.9681797912307168,0.9543183150225418,0.9322033898305084,8.898120164871216,8.388231992721558,,
3,0.0009731795346418141,0.903818306398256,0.9437392225707935,0.9732977303070761,0.9690505685367872,0.954045322877848,0.8983050847457628,8.844910144805908,8.34807276725769,,
4,0.000940339506847212,0.8917173555380604,0.9475619637255106,0.9736315086782377,0.9518947294635572,0.9321884797458385,0.8983050847457628,8.873016119003296,8.401217460632324,,
5,0.0008956245521512149,0.8830103584560637,0.9514678079488085,0.9742990654205608,0.9524541105246109,0.9359833509220747,0.9322033898305084,8.890212774276733,8.421553373336792,,
6,0.000840254377954742,0.876822339535661,0.951924874826003,0.9739652870493992,0.9469615341330547,0.9289417493430191,0.8813559322033898,8.854495525360107,8.373989343643188,,
7,0.0007757393382706015,0.8724668248350159,0.9532960754575863,0.9739652870493992,0.9778425596374275,0.9623679102009735,0.9661016949152542,8.897578477859497,8.400300025939941,,
8,0.00070383923520322,0.8681163434520848,0.9542725365134107,0.9753004005340454,0.9581687418076383,0.9425439238760973,0.8983050847457628,8.936866998672485,8.447115659713745,,
9,0.0006265153161346956,0.8637282954730892,0.955830719049301,0.9779706275033377,0.97576146825913,0.9628504355628953,0.9661016949152542,8.946717023849487,8.470807313919067,,
10,0.0005458767760088046,0.8596413715365243,0.9567864043379802,0.9764686248331108,0.9737940681456037,0.9605140030607727,0.9491525423728814,8.85764193534851,8.38464617729187,,
11,0.00046412322399119553,0.8542508311287815,0.9594664782997112,0.975634178905207,0.983785959791068,0.9716433243175536,0.9830508474576272,8.927607297897339,8.438430786132812,,
12,0.00038348468386530446,0.8511554260211109,0.9597157875054536,0.9761348464619493,0.9801199641608245,0.9660294095545244,0.9661016949152542,8.95024847984314,8.473515272140503,,
13,0.00030616076479678025,0.8490092745448021,0.9604637151226809,0.9771361815754339,0.9745009164046566,0.9592607142869158,1.0,8.874531030654907,8.394884586334229,,
14,0.0002342606617293988,0.8448916765668363,0.9615648307813766,0.9759679572763685,0.9762117941647257,0.9634940566988283,0.9830508474576272,9.017617464065552,8.541903018951416,,
15,0.00016974562204525827,0.8406554574006277,0.9642864562773981,0.9773030707610146,0.9871231586539478,0.9771251598130041,1.0,8.9454665184021,8.466881513595581,,
16,0.00011437544784878523,0.8359229790092746,0.9653667961689485,0.9783044058744993,0.9837803966881155,0.9748555716436922,0.9830508474576272,8.794001340866089,8.300095796585083,,
17,6.966049315278797e-05,0.8369332344845113,0.9640994743730912,0.9788050734312417,0.9832022239590625,0.9747512488671689,0.9830508474576272,8.696762084960938,8.230663537979126,,
18,3.6820465358185854e-05,0.8344165794552146,0.9655330023061102,0.9789719626168224,0.9842233454136997,0.9748741923123515,0.9830508474576272,8.737458229064941,8.270058870315552,,
19,1.6751154815652454e-05,0.8304176935169729,0.9664679118276442,0.9791388518024032,0.9858411384153315,0.9762666133876936,1.0,8.729681491851807,8.24118709564209,,
20,1e-05,0.829738098022719,0.9670704090748551,0.9784712950600801,0.9879815642384053,0.9781850555030777,1.0,9.229599237442017,8.29078984260559,0.979305740987984,0.9841806429935341
