epoch,lr,train_loss,train_acc,val_top1,val_bal_acc,val_macro_f1,val_minority_acc,epoch_seconds,train_seconds,ema_val_top1,ema_val_bal_acc
1,0.001,1.8470758853897438,0.7007318123116659,0.9714143260761177,0.9573011847340483,0.9459526351470481,0.9344262295081968,12.162620544433594,11.606697082519531,,
2,0.0009932488451843476,0.8838021162216865,0.959305495766968,0.9782283529998338,0.9776579002519848,0.9728211895353093,0.9672131147540983,11.742763757705688,11.247565507888794,,
3,0.0009731795346418141,0.8477546804347088,0.9688908021236906,0.9797241150074788,0.9776549026320493,0.97177446266075,0.9672131147540983,11.920193672180176,11.43130350112915,,
4,0.000940339506847212,0.8346742010044733,0.9721050365906155,0.9803888981219877,0.9712429263074496,0.9694825480731213,0.9344262295081968,11.735751628875732,11.24014687538147,,
5,0.0008956245521512149,0.8264269253191193,0.9741713301764959,0.9810536812364966,0.9686356863420944,0.9671043087340345,0.9508196721311475,11.838191986083984,11.345005512237549,,
6,0.000840254377954742,0.8181169156211232,0.9767685464198593,0.9808874854578694,0.9733744954117924,0.9731008916516024,0.9344262295081968,11.731929779052734,11.262269020080566,,
7,0.0007757393382706015,0.8126894432154904,0.9777299469077343,0.9793917234502244,0.9757400180833218,0.972077424143763,0.9508196721311475,11.798216581344604,11.299388647079468,,
8,0.00070383923520322,0.808528260290751,0.9788061414837136,0.9830480305800232,0.9761192748336145,0.9765104304909018,0.9508196721311475,11.66148567199707,11.177398443222046,,
9,0.0006265153161346956,0.8023225483310703,0.9809728798966854,0.9807212896792421,0.975749297496599,0.9743582774308968,0.9508196721311475,11.690917491912842,11.210055351257324,,
10,0.0005458767760088046,0.7977670745436337,0.9824939015640695,0.9808874854578694,0.975247110709362,0.9752290095447333,0.9508196721311475,11.772185802459717,11.287660598754883,,
11,0.00046412322399119553,0.7947312628458247,0.9838140335772708,0.9777297656639521,0.9730771747954629,0.9731309004341794,0.9508196721311475,11.886688709259033,11.418318271636963,,
12,0.00038348468386530446,0.7911158146244465,0.984129717319558,0.9830480305800232,0.9788970440682663,0.9776498171600845,0.9672131147540983,11.747513771057129,11.266287326812744,,
13,0.00030616076479678025,0.7854558526178158,0.9862103601664515,0.9838790094731594,0.97671214492412,0.9761142302581082,0.9508196721311475,11.814891576766968,11.343344449996948,,
14,0.0002342606617293988,0.7825511723444613,0.9873869995695221,0.9833804221372777,0.9809918132576598,0.9776460212028587,0.9672131147540983,11.800508737564087,11.314748764038086,,
15,0.00016974562204525827,0.7807146347891328,0.9878605251829531,0.9838790094731594,0.9807374214048757,0.9788800638309285,0.9672131147540983,11.844767093658447,11.358391046524048,,
16,0.00011437544784878523,0.777699795718993,0.9887071315827235,0.9833804221372777,0.9797013334644445,0.9778848818332585,0.9672131147540983,11.682341575622559,11.213908910751343,,
17,6.966049315278797e-05,0.7751399029377185,0.9892667527622327,0.985873358816686,0.9800858688283702,0.9789528840875028,0.9672131147540983,11.813399076461792,11.341094732284546,,
18,3.6820465358185854e-05,0.7741250907883854,0.9894963409384416,0.9847099883662955,0.98032464131211,0.9786884517499761,0.9672131147540983,11.956194639205933,11.48263168334961,,
19,1.6751154815652454e-05,0.7717490124555345,0.9907160281245516,0.9863719461525677,0.9815536090089819,0.9798629146438298,0.9672131147540983,11.73419451713562,11.267851829528809,,
20,1e-05,0.7709938644644416,0.9909456163007605,0.9852085757021771,0.9769575018436488,0.9768899875767239,0.9508196721311475,12.146726608276367,11.179913997650146,0.985873358816686,0.977474523630337
