epoch,lr,train_loss,train_acc,val_top1,val_bal_acc,val_macro_f1,val_minority_acc,epoch_seconds,train_seconds,ema_val_top1,ema_val_bal_acc
1,0.001,1.7172875730801482,0.5972135579122478,0.9427953770682631,0.7665769898638385,0.7671627224530374,0.5416666666666666,36.17007517814636,33.05940914154053,,
2,0.000905463412215599,0.462614454593944,0.9083385319193179,0.9679055458551592,0.8856258071308075,0.8816868528601242,0.7916666666666666,34.93634605407715,31.27531385421753,,
3,0.000657963412215599,0.4018006286010794,0.9278228321896445,0.9739752224162301,0.9399783905716522,0.9387365372922059,0.925,34.80084705352783,31.505207777023315,,
4,0.0003520365877844011,0.38250791511036897,0.9334788937409024,0.9734763448906627,0.959915481594737,0.9573116972053173,0.9416666666666667,34.627103328704834,31.260319709777832,,
5,0.00010453658778440106,0.3622094223729338,0.9404865876481597,0.9777999501122474,0.9687733735458008,0.9630795067186284,0.9666666666666667,33.484246253967285,30.40793752670288,,
6,1e-05,0.3527652110434243,0.9436681222707424,0.9777999501122474,0.9695389573497443,0.9645329803672081,0.9666666666666667,37.5785927772522,31.39574432373047,0.977633657603725,0.9691019128926487
